name,location_id
casablanca,106186529
rabat,118330812
marrakech,106114293
safi,104013040
tanger,101132383
morocco,102787409
eljadida,101745651
harhoura,102648768
essaouira,101329160
meknes,100206069
fez,101714411
sous-massa,105879621
agadir,103589405
beni mellal,106690749
khenifra,109335389
L'Oriental,103467465
Oujda,104266787
Nador,105121660
kenitra,102131168
Darâa Tafilalet,107134689
Errachidia,100961981
Ouarzazat,104812720
Tetouan,90010268
Ben Guerir,118252683
Martil,102840941
Fnideq,105611721
Asilah,101813993
Mohammedia,102342885
Bouznika,118468829
Dar bouazza,101423466
Benslimane,100885772
Berrechid,100636308
Bouskoura,100800218
Deroua,103856143
Ait Melloul,100929194
Salé,118615175
